epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,307.975,0.6958,0.38201,0.96222,0.95375,0.97619,0.995,0.75238,0.92104,0.42688,1.08597,0.000228729,0.000228729,0.000228729
43,315.269,0.68819,0.38441,0.95675,0.93615,0.98816,0.995,0.74603,0.91854,0.41616,1.08896,0.000224917,0.000224917,0.000224917
44,322.732,0.68139,0.38795,0.95639,0.94146,0.98462,0.995,0.7595,0.89603,0.40576,1.06518,0.000221106,0.000221106,0.000221106
45,330.06,0.67744,0.37932,0.96139,0.9508,1,0.995,0.73227,0.95253,0.41522,1.14501,0.000217294,0.000217294,0.000217294
46,337.495,0.70897,0.39445,0.97263,0.90742,0.94001,0.94448,0.76285,0.88848,0.42609,1.04918,0.000213482,0.000213482,0.000213482
47,344.84,0.68192,0.37711,0.95243,0.97359,0.99153,0.995,0.7659,0.91818,0.39913,1.07264,0.000209671,0.000209671,0.000209671
48,352.241,0.68547,0.37939,0.95685,0.97668,0.99204,0.995,0.77303,0.87361,0.41209,1.04593,0.00020586,0.00020586,0.00020586
49,359.674,0.66814,0.36325,0.96071,0.98031,0.98784,0.99367,0.75325,0.95432,0.41559,1.13788,0.000202048,0.000202048,0.000202048
50,366.982,0.6621,0.36308,0.94684,0.97304,0.99259,0.995,0.77825,0.93853,0.39883,1.13422,0.000198236,0.000198236,0.000198236
51,374.359,0.66316,0.36178,0.95592,0.96264,0.99185,0.995,0.74962,0.9748,0.38716,1.15562,0.000194425,0.000194425,0.000194425
52,381.72,0.63035,0.34806,0.93809,0.95593,0.97973,0.995,0.76778,0.92677,0.39992,1.11533,0.000190613,0.000190613,0.000190613
53,389.01,0.64005,0.35424,0.93888,0.94609,0.985,0.995,0.77007,0.94406,0.39382,1.12724,0.000186802,0.000186802,0.000186802
54,396.506,0.6343,0.34745,0.9325,0.94949,1,0.995,0.77183,0.92462,0.38048,1.14052,0.00018299,0.00018299,0.00018299
55,403.76,0.63652,0.34625,0.93375,0.94325,0.9851,0.995,0.76103,0.90744,0.36898,1.12941,0.000179179,0.000179179,0.000179179
56,411.087,0.63314,0.34899,0.93711,0.93993,0.9837,0.99429,0.74491,0.96643,0.38672,1.15524,0.000175367,0.000175367,0.000175367
57,418.356,0.63215,0.34248,0.94433,0.96806,0.99481,0.995,0.76608,0.94942,0.3959,1.15896,0.000171556,0.000171556,0.000171556
